"","SchoolName","City","State","District","Award","Model"
"235","CLEWISTON HIGH SCHOOL","CLEWISTON","FL","HENDRY",547,"Transformation"
"236","BOOKER T. WASHINGTON SENIOR HIGH","MIAMI","FL","DADE",473,"Turnaround"
"237","CELEBRATION HIGH SCHOOL","CELEBRATION","FL","OSCEOLA",484,"Transformation"
"238","FREDERICK R. DOUGLASS ELEMENTARY","MIAMI","FL","DADE",289,"Turnaround"
"239","CENTRAL HAMILTON ELEMENTARY SCHOOL","JASPER","FL","HAMILTON",396,"Transformation"
"240","EVANS HIGH SCHOOL","ORLANDO","FL","ORANGE",479,"Transformation"
"241","MIAMI NORLAND SENIOR HIGH SCHOOL","MIAMI","FL","DADE",537,"Turnaround"
"242","COCONUT CREEK HIGH SCHOOL","COCONUT CREEK","FL","BROWARD",516,"Transformation"
"243","A. PHILIP RANDOLPH ACADEMIES","JACKSONVILLE","FL","DUVAL",504,"Transformation"
"244","MIAMI CAROL CITY SENIOR HIGH","OPA-LOCKA","FL","DADE",650,"Transformation"
"245","AMOS P. GODBY HIGH SCHOOL","TALLAHASSEE","FL","LEON",458,"Transformation"
"246","HAWTHORNE MIDDLE/HIGH SCHOOL","HAWTHORNE","FL","ALACHUA",467,"Transformation"
"247","NORTHWESTERN MIDDLE SCHOOL","JACKSONVILLE","FL","DUVAL",381,"Transformation"
"248","GIBBS HIGH SCHOOL","ST PETERSBURG","FL","PINELLAS",381,"Transformation"
"249","CHARLES R. DREW MIDDLE SCHOOL","MIAMI","FL","DADE",300,"Turnaround"
"250","FRANKLIN MIDDLE MAGNET SCHOOL","TAMPA","FL","HILLSBOROUGH",547,"Transformation"
"251","PAXON MIDDLE SCHOOL","JACKSONVILLE","FL","DUVAL",465,"Turnaround"
"252","ROSENWALD ELEMENTARY SCHOOL","SOUTH BAY","FL","PALM BEACH",388,"Transformation"
"253","BURKE COUNTY HIGH SCHOOL","WAYNESBORO","GA","BURKE COUNTY",42,"Transformation"
"254","WILLIAM S. HUTCHINGS CAREER CENTER","MACON","GA","BIBB COUNTY",636,"Transformation"
"255","LANEY HIGH SCHOOL","AUGUSTA","GA","RICHMOND COUNTY",45,"Turnaround"
"256","CRIM HIGH SCHOOL","ATLANTA","GA","ATLANTA PUBLIC SCHOOLS",49,"Transformation"
"257","PEACH COUNTY HIGH SCHOOL","FORT VALLEY","GA","PEACH COUNTY",185,"Transformation"
"258","GRIFFIN HIGH SCHOOL","GRIFFIN","GA","SPALDING COUNTY",112,"Transformation"
"259","DADE COUNTY HIGH SCHOOL","TRENTON","GA","DADE COUNTY",626,"Transformation"
"260","GLENN HILLS HIGH SCHOOL","AUGUSTA","GA","RICHMOND COUNTY",23,"Transformation"
"261","DOUGLASS HIGH SCHOOL","ATLANTA","GA","ATLANTA PUBLIC SCHOOLS",560,"Transformation"
"262","JORDAN VOCATIONAL HIGH SCHOOL","COLUMBUS","GA","MUSCOGEE COUNTY",113,"Transformation"
"263","DOOLY COUNTY HIGH SCHOOL","VIENNA","GA","DOOLY COUNTY",101,"Transformation"
"264","BEACH HIGH SCHOOL","SAVANNAH","GA","CHATHAM COUNTY",71,"Turnaround"
"265","RIDGELAND HIGH SCHOOL","ROSSVILLE","GA","WALKER COUNTY",114,"Transformation"
"266","SOUTHWEST HIGH SCHOOL","MACON","GA","BIBB COUNTY",59,"Transformation"
"267","JOSEY HIGH SCHOOL","AUGUSTA","GA","RICHMOND COUNTY",8,"Transformation"
"268","GEORGIA SCHOOL FOR THE DEAF","CAVE SPRING","GA","STATE SCHOOLS",7,"Transformation"
"269","SPENCER HIGH SCHOOL","COLUMBUS","GA","MUSCOGEE COUNTY",139,"Transformation"
"270","MCNAIR HIGH SCHOOL","ATLANTA","GA","DEKALB COUNTY",596,"Transformation"
"271","TEMPLE HIGH SCHOOL","TEMPLE","GA","CARROLL COUNTY",19,"Transformation"
"272","RUTLAND HIGH SCHOOL","MACON","GA","BIBB COUNTY",75,"Transformation"
"273","STEWART-QUITMAN HIGH SCHOOL","LUMPKIN","GA","STEWART COUNTY",498,"Transformation"
"274","NORTHEAST HIGH SCHOOL","MACON","GA","BIBB COUNTY",38,"Transformation"
"275","HAWKINSVILLE HIGH SCHOOL","HAWKINSVILLE","GA","PULASKI COUNTY",606,"Transformation"
"276","ATLANTA AREA SCHOOL FOR THE DEAF","CLARKSTON","GA","STATE SCHOOLS",485,"Transformation"
"277","HENRY COUNTY HIGH SCHOOL","MCDONOUGH","GA","HENRY COUNTY",105,"Transformation"
"278","CLARKSTON HIGH SCHOOL","CLARKSTON","GA","DEKALB COUNTY",598,"Transformation"
"279","WEEKS MIDDLE SCHOOL","DES MOINES","IA","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT",175,"Transformation"
"280","NORTH HIGH SCHOOL","DES MOINES","IA","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT",224,"Transformation"
"282","HOYT MIDDLE SCHOOL","DES MOINES","IA","DES MOINES INDEPENDENT COMM SCHOOL DISTRICT",175,"Transformation"
"283","JACK M LOGAN MIDDLE SCHOOL","WATERLOO","IA","WATERLOO COMM SCHOOL DISTRICT",549,"Transformation"
"285","MURTAUGH MIDDLE SCHOOL","MURTAUGH","ID","MURTAUGH JOINT DISTRICT",228,"Transformation"
"290","JEFFERSON MIDDLE SCHOOL","CALDWELL","ID","CALDWELL DISTRICT",264,"Transformation"
"291","THORNWOOD HIGH SCHOOL","SOUTH HOLLAND","IL","THORNTON TWP HSD 205",149,"Transformation"
"292","MANUAL HIGH SCHOOL","PEORIA","IL","PEORIA SD 150",69,"Turnaround"
"293","MARSHALL METROPOLITAN HIGH SCHOOL","CHICAGO","IL","CITY OF CHICAGO SD 299",205,"Turnaround"
"294","EGYPTIAN SR HIGH SCHOOL","TAMMS","IL","EGYPTIAN CUSD 5",56,"Transformation"
"295","HARPER HIGH SCHOOL","CHICAGO","IL","CITY OF CHICAGO SD 299",211,"Turnaround"
"296","THORNTON TOWNSHIP HIGH SCHOOL","HARVEY","IL","THORNTON TWP HSD 205",149,"Transformation"
"297","DEPUE HIGH SCHOOL","DEPUE","IL","DEPUE USD 103",563,"Transformation"
"298","FENGER ACADEMY HIGH SCHOOL","CHICAGO","IL","CITY OF CHICAGO SD 299",184,"Turnaround"
"299","THORNRIDGE HIGH SCHOOL","DOLTON","IL","THORNTON TWP HSD 205",149,"Transformation"
"300","PHILLIPS ACADEMY HIGH SCHOOL","CHICAGO","IL","CITY OF CHICAGO SD 299",172,"Restart"
"301","BENDIX SCHOOL","SOUTH BEND","IN","SOUTH BEND COMMUNITY SCH CORP",39,"Transformation"
"302","GLENWOOD MIDDLE SCHOOL","EVANSVILLE","IN","EVANSVILLE-VANDERBURGH SCH CORP",221,"Transformation"
"303","GEORGE WASHINGTON COMMUNITY","INDIANAPOLIS","IN","INDIANAPOLIS PUBLIC SCHOOLS",212,"Turnaround"
"304","INDIANAPOLIS METROPOLITAN HIGH SCH","INDIANAPOLIS","IN","INDIANAPOLIS METROPOLITAN HIGH SCH",531,"Transformation"
"305","JOHN MARSHALL COMMUNITY HIGH SCH","INDIANAPOLIS","IN","INDIANAPOLIS PUBLIC SCHOOLS",201,"Turnaround"
"306","THE CHALLENGE FOUNDATION ACADEMY","INDIANAPOLIS","IN","CHALLENGE FOUNDATION ACADEMY",413,"Transformation"
"307","HAMMOND HIGH SCHOOL","HAMMOND","IN","SCHOOL CITY OF HAMMOND",222,"Turnaround"
"308","EMERSON ELEM","KANSAS CITY","KS","KANSAS CITY",24,"Turnaround"
"309","HIGHLAND PARK HIGH","TOPEKA","KS","TOPEKA PUBLIC SCHOOLS",209,"Transformation"
"310","SOUTH EAST HIGH","CHEROKEE","KS","CHEROKEE",551,"Transformation"
"311","LIBERAL  SOUTH MIDDLE","LIBERAL","KS","LIBERAL",177,"Transformation"
"312","NORTHWEST MIDDLE","KANSAS CITY","KS","KANSAS CITY",197,"Transformation"
"313","CURTIS MIDDLE SCHOOL","WICHITA","KS","WICHITA",218,"Transformation"
"314","WESTERN MIDDLE SCHOOL","LOUISVILLE","KY","JEFFERSON COUNTY",338,"Turnaround"
"315","VALLEY TRADITIONAL HIGH SCHOOL","LOUISVILLE","KY","JEFFERSON COUNTY",437,"Turnaround"
"316","METCALFE COUNTY HIGH SCHOOL","EDMONTON","KY","METCALFE COUNTY",343,"Transformation"
"317","SHAWNEE HIGH SCHOOL MAGNET CAREER ACADEM","LOUISVILLE","KY","JEFFERSON COUNTY",345,"Turnaround"
"318","FERN CREEK TRADITIONAL HIGH SCHOOL","LOUISVILLE","KY","JEFFERSON COUNTY",419,"Turnaround"
"319","LESLIE COUNTY HIGH SCHOOL","HYDEN","KY","LESLIE COUNTY",377,"Transformation"
"320","ROBERT FROST MIDDLE SCHOOL","VALLEY STATION","KY","JEFFERSON COUNTY",345,"Turnaround"
"321","CAVERNA HIGH SCHOOL","HORSE CAVE","KY","CAVERNA INDEPENDENT",317,"Transformation"
"322","LAWRENCE COUNTY HIGH SCHOOL","LOUISA","KY","LAWRENCE COUNTY",574,"Transformation"
"323","WESTERN MST MAGNET HIGH SCHOOL","LOUISVILLE","KY","JEFFERSON COUNTY",345,"Turnaround"
"326","CHELSEA HIGH","CHELSEA","MA","CHELSEA",541,"Transformation"
"327","THE ENGLISH HIGH","BOSTON","MA","BOSTON",621,"Transformation"
"328","ELIHU GREENWOOD","HYDE PARK","MA","BOSTON",335,"Transformation"
"329","ORCHARD GARDENS","ROXBURY","MA","BOSTON",35,"Turnaround"
"330","PAUL A DEVER","DORCHESTER","MA","BOSTON",595,"Turnaround"
"331","DEARBORN","ROXBURY","MA","BOSTON",329,"Transformation"
"332","HARBOR SCHOOL","BOSTON","MA","BOSTON",436,"Turnaround"
"333","JOHN P HOLLAND","DORCHESTER","MA","BOSTON",617,"Transformation"
"334","BLACKSTONE","BOSTON","MA","BOSTON",539,"Turnaround"
"335","M MARCUS KILEY MIDDLE","SPRINGFIELD","MA","SPRINGFIELD",554,"Transformation"
"336","WILLIAM MONROE TROTTER","DORCHESTER","MA","BOSTON",395,"Turnaround"
"337","JOHN F KENNEDY","JAMAICA PLAIN","MA","BOSTON",324,"Transformation"
"338","THURGOOD MARSHALL MIDDLE SCHOOL","TEMPLE HILLS","MD","PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS",555,"Turnaround"
"339","WILLIAM C. MARCH MIDDLE","BALTIMORE","MD","BALTIMORE CITY PUBLIC SCHOOLS",637,"Restart"
"340","CHINQUAPIN MIDDLE","BALTIMORE","MD","BALTIMORE CITY PUBLIC SCHOOLS",362,"Restart"
"341","BENJAMIN STODDERT MIDDLE","TEMPLE HILLS","MD","PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS",555,"Turnaround"
"342","AUGUSTA FELLS SAVAGE INSTITUTE OF VISUAL ARTS","BALTIMORE","MD","BALTIMORE CITY PUBLIC SCHOOLS",83,"Turnaround"
"343","CALVERTON","BALTIMORE","MD","BALTIMORE CITY PUBLIC SCHOOLS",166,"Restart"
"344","G. JAMES GHOLSON MIDDLE","LANDOVER","MD","PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS",585,"Turnaround"
"345","GARRISON MIDDLE","BALTIMORE","MD","BALTIMORE CITY PUBLIC SCHOOLS",62,"Restart"
"346","BOOKER T. WASHINGTON MIDDLE","BALTIMORE","MD","BALTIMORE CITY PUBLIC SCHOOLS",623,"Turnaround"
"347","DREW FREEMAN MIDDLE","SUITLAND","MD","PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS",555,"Turnaround"
"348","COMMODORE JOHN ROGERS ELEMENTARY","BALTIMORE","MD","BALTIMORE CITY PUBLIC SCHOOLS",9,"Restart"
"355","LESSENGER ELEMENTARY-MIDDLE SCHOOL","DETROIT","MI","DETROIT CITY SCHOOL DISTRICT",117,"Turnaround"
"356","E.A. JOHNSON MEMORIAL H.S.","MOUNT MORRIS","MI","MT. MORRIS CONSOLIDATED SCHOOLS",495,"Transformation"
"357","BUCHANAN HIGH SCHOOL","BUCHANAN","MI","BUCHANAN COMMUNITY SCHOOLS",64,"Transformation"
"358","WESTWOOD MIDDLE SCHOOL","GRAND RAPIDS","MI","GRAND RAPIDS PUBLIC SCHOOLS",151,"Turnaround"
"359","ALGER MIDDLE SCHOOL","GRAND RAPIDS","MI","GRAND RAPIDS PUBLIC SCHOOLS",151,"Turnaround"
"360","WALDRON MIDDLE SCHOOL","WALDRON","MI","WALDRON AREA SCHOOLS",256,"Transformation"
"361","WHITE ELEMENTARY SCHOOL","HAMTRAMCK","MI","DETROIT CITY SCHOOL DISTRICT",72,"Transformation"
"362","ARTHUR HILL HIGH SCHOOL","SAGINAW","MI","SAGINAW CITY SCHOOL DISTRICT",140,"Transformation"
"363","MT. CLEMENS HIGH SCHOOL","MOUNT CLEMENS","MI","MT. CLEMENS COMMUNITY SCHOOL DISTRICT",543,"Transformation"
"364","ADRIAN HIGH SCHOOL","ADRIAN","MI","ADRIAN CITY SCHOOL DISTRICT",631,"Transformation"
"365","UNION HIGH SCHOOL","GRAND RAPIDS","MI","GRAND RAPIDS PUBLIC SCHOOLS",200,"Transformation"
"366","LEE HIGH SCHOOL","WYOMING","MI","GODFREY-LEE PUBLIC SCHOOLS",605,"Transformation"
"367","LINCOLN HIGH SCHOOL","WARREN","MI","VAN DYKE PUBLIC SCHOOLS",327,"Transformation"
"368","SOUTHWESTERN HIGH SCHOOL","DETROIT","MI","DETROIT CITY SCHOOL DISTRICT",91,"Turnaround"
"369","ROMULUS MIDDLE SCHOOL","ROMULUS","MI","ROMULUS COMMUNITY SCHOOLS",220,"Transformation"
"370","FARWELL MIDDLE SCHOOL","DETROIT","MI","DETROIT CITY SCHOOL DISTRICT",442,"Turnaround"
"371","INKSTER HIGH SCHOOL","INKSTER","MI","SCHOOL DISTRICT OF THE CITY OF INKSTER",134,"Turnaround"
"372","WESTON PREPARATORY ACADEMY","DETROIT","MI","WESTON PREPARATORY ACADEMY",510,"Transformation"
"373","OTTAWA HILLS HIGH SCHOOL","GRAND RAPIDS","MI","GRAND RAPIDS PUBLIC SCHOOLS",200,"Transformation"
"374","FITZGERALD SENIOR HIGH SCHOOL","WARREN","MI","FITZGERALD PUBLIC SCHOOLS",353,"Transformation"
"375","SPRINGPORT HIGH SCHOOL","SPRINGPORT","MI","SPRINGPORT PUBLIC SCHOOLS",556,"Transformation"
"376","NOLAN ELEMENTARY SCHOOL","HIGHLAND PARK","MI","DETROIT CITY SCHOOL DISTRICT",63,"Transformation"
"377","OAK PARK HIGH SCHOOL","OAK PARK","MI","OAK PARK CITY SCHOOL DISTRICT",207,"Turnaround"
"378","BUENA VISTA HIGH SCHOOL","SAGINAW","MI","BUENA VISTA SCHOOL DISTRICT",577,"Transformation"
"379","GRANT HIGH SCHOOL","GRANT","MI","GRANT PUBLIC SCHOOL DISTRICT",414,"Transformation"
"380","GERALD R. FORD MIDDLE SCHOOL","GRAND RAPIDS","MI","GRAND RAPIDS PUBLIC SCHOOLS",111,"Turnaround"
"381","PHOENIX ELEMENTARY","DETROIT","MI","DETROIT CITY SCHOOL DISTRICT",575,"Turnaround"
"382","THOMPSON MIDDLE SCHOOL","SAGINAW","MI","SAGINAW CITY SCHOOL DISTRICT",77,"Transformation"
"383","WELLSTONE INTERNATIONAL HIGH","MINNEAPOLIS","MN","MINNEAPOLIS PUBLIC SCHOOL DIST.",400,"Transformation"
"384","EDISON SENIOR HIGH","MINNEAPOLIS","MN","MINNEAPOLIS PUBLIC SCHOOL DIST.",599,"Turnaround"
"385","CASS LAKE-BENA SECONDARY","CASS LAKE","MN","CASS LAKE-BENA PUBLIC SCHOOLS",402,"Transformation"
"386","MAXFIELD MAGNET ELEMENTARY","ST. PAUL","MN","ST. PAUL PUBLIC SCHOOL DISTRICT",441,"Transformation"
"387","NORTH VIEW IB WORLD SCHOOL","BROOKLYN PARK","MN","OSSEO PUBLIC SCHOOL DISTRICT",590,"Transformation"
"388","BETHUNE ELEMENTARY","MINNEAPOLIS","MN","MINNEAPOLIS PUBLIC SCHOOL DIST.",400,"Transformation"
"389","BROOKLYN CENTER SECONDARY","BROOKLYN CENTER","MN","BROOKLYN CENTER SCHOOL DISTRICT",509,"Transformation"
"390","HUMBOLDT SENIOR HIGH","ST. PAUL","MN","ST. PAUL PUBLIC SCHOOL DISTRICT",590,"Turnaround"
"391","OGILVIE SECONDARY","OGILVIE","MN","OGILVIE PUBLIC SCHOOL DISTRICT",420,"Transformation"
"392","BROADWAY ARTS & TECHNOLOGY","MINNEAPOLIS","MN","MINNEAPOLIS PUBLIC SCHOOL DIST.",322,"Transformation"
"393","ISLE SECONDARY","ISLE","MN","ISLE PUBLIC SCHOOL DISTRICT",381,"Transformation"
"394","BRAHAM AREA SECONDARY","BRAHAM","MN","BRAHAM PUBLIC SCHOOL DISTRICT",482,"Transformation"
"395","RED LAKE SENIOR HIGH","RED LAKE","MN","RED LAKE PUBLIC SCHOOL DISTRICT",421,"Transformation"
"396","HMONG INTERNATIONAL ACADEMY","MINNEAPOLIS","MN","MINNEAPOLIS PUBLIC SCHOOL DIST.",400,"Transformation"
"397","LUCY LANEY @ CLEVELAND PARK ELEM.","MINNEAPOLIS","MN","MINNEAPOLIS PUBLIC SCHOOL DIST.",522,"Turnaround"
"398","EAST CENTRAL SENIOR SECONDARY","FINLAYSON","MN","EAST CENTRAL SCHOOL DISTRICT",382,"Transformation"
"399","WAUBUN SECONDARY","WAUBUN","MN","WAUBUN PUBLIC SCHOOL DISTRICT",509,"Transformation"
"400","NEW VISIONS CHARTER SCHOOL","MINNEAPOLIS","MN","NEW VISIONS CHARTER SCHOOL",416,"Transformation"
"401","PONEMAH ELEMENTARY","PONEMAH","MN","RED LAKE PUBLIC SCHOOL DISTRICT",367,"Transformation"
"402","NORMANDY MIDDLE","ST LOUIS","MO","NORMANDY",334,"Transformation"
"403","COLUMBIA ELEM. COMM. ED. CTR.","ST LOUIS","MO","ST. LOUIS CITY",294,"Turnaround"
"404","CENTRAL HIGH","KANSAS CITY","MO","KANSAS CITY 33",572,"Transformation"
"405","MANN ELEM.","ST LOUIS","MO","ST. LOUIS CITY",307,"Turnaround"
"406","EAST MIDDLE","ST LOUIS","MO","HAZELWOOD",152,"Turnaround"
"407","HAMILTON ELEM. COMMUNITY ED.","ST LOUIS","MO","ST. LOUIS CITY",297,"Turnaround"
"408","CARUTHERSVILLE MIDDLE","CARUTHERSVILLE","MO","CARUTHERSVILLE 18",305,"Transformation"
"409","R. G. CENTRAL MIDDLE","ST LOUIS","MO","RIVERVIEW GARDENS",217,"Turnaround"
"410","GENESIS SCHOOL INC.","KANSAS CITY","MO","GENESIS SCHOOL INC.",242,"Turnaround"
"411","WALBRIDGE ELEM. COMMUNITY ED.","ST LOUIS","MO","ST. LOUIS CITY",304,"Turnaround"
"412","JENNINGS JR. HIGH","JENNINGS","MO","JENNINGS",298,"Transformation"
"413","LANGSTON MIDDLE","ST LOUIS","MO","ST. LOUIS CITY",344,"Transformation"
"414","HAYTI HIGH","HAYTI","MO","HAYTI R-II",12,"Transformation"
"415","FANNING MIDDLE COMMUNITY ED.","ST LOUIS","MO","ST. LOUIS CITY",350,"Transformation"
"416","CONSTRUCTION CAREERS CENTER","ST LOUIS","MO","CONSTRUCTION CAREERS CENTER",405,"Transformation"
"417","RIVERVIEW GARDENS SR. HIGH","ST LOUIS","MO","RIVERVIEW GARDENS",391,"Turnaround"
"418","B. BANNEKER ACADEMY","KANSAS CITY","MO","B. BANNEKER ACADEMY",612,"Turnaround"
"419","VAN HORN HS AT EAST","KANSAS CITY","MO","KANSAS CITY 33",572,"Transformation"
"420","VASHON HIGH","ST LOUIS","MO","ST. LOUIS CITY",319,"Turnaround"
"421","SMITH-HALE JR. HIGH","KANSAS CITY","MO","HICKMAN MILLS C-1",148,"Transformation"
"422","L'OUVERTURE MIDDLE","ST LOUIS","MO","ST. LOUIS CITY",348,"Transformation"
"423","MCCLUER SOUTH-BERKELEY HIGH","FERGUSON","MO","FERGUSON-FLORISSANT R-II",325,"Transformation"
"424","ASHLAND ELEM. AND BR.","ST LOUIS","MO","ST. LOUIS CITY",293,"Turnaround"
"425","ALTA VISTA CHARTER SCH.","KANSAS CITY","MO","ALTA VISTA CHARTER SCH.",245,"Transformation"
"426","NORMANDY HIGH","ST LOUIS","MO","NORMANDY",321,"Transformation"
"427","NORTHEAST HIGH","KANSAS CITY","MO","KANSAS CITY 33",572,"Transformation"
"428","SIGEL ELEM. COMM. ED. CTR.","ST LOUIS","MO","ST. LOUIS CITY",311,"Turnaround"
"429","ERVIN JR. HIGH","KANSAS CITY","MO","HICKMAN MILLS C-1",365,"Closure"
"430","JEFFERSON ELEM.","ST LOUIS","MO","ST. LOUIS CITY",285,"Transformation"
"431","BERKELEY MIDDLE","BERKELEY","MO","FERGUSON-FLORISSANT R-II",271,"Transformation"
"432","WESTVIEW MIDDLE","ST LOUIS","MO","RIVERVIEW GARDENS",217,"Turnaround"
"433","URBAN COM. LEADERSHIP ACADEMY","KANSAS CITY","MO","URBAN COM. LEADERSHIP ACADEMY",641,"Turnaround"
"434","LEFLORE COUNTY HIGH SCHOOL","ITTA BENA","MS","LEFLORE CO SCHOOL DIST",162,"Transformation"
"435","HAZLEHURST HIGH SCHOOL","HAZLEHURST","MS","HAZLEHURST CITY SCHOOL DISTRICT",61,"Transformation"
"436","WINGFIELD HIGH SCHOOL","JACKSON","MS","JACKSON PUBLIC SCHOOL DIST",160,"Transformation"
"437","W A HIGGINS MIDDLE SCHOOL","CLARKSDALE","MS","CLARKSDALE MUNICIPAL SCHOOL DIST",74,"Transformation"
"438","GENTRY HIGH SCHOOL","INDIANOLA","MS","INDIANOLA SCHOOL DIST",85,"Transformation"
"439","PORT GIBSON HIGH SCHOOL","PORT GIBSON","MS","CLAIBORNE CO SCHOOL DIST",162,"Transformation"
"440","NORTH PANOLA HIGH SCHOOL","SARDIS","MS","NORTH PANOLA SCHOOLS",561,"Transformation"
"441","HAZLEHURST MIDDLE SCHOOL","HAZLEHURST","MS","HAZLEHURST CITY SCHOOL DISTRICT",108,"Transformation"
"442","PLENTY COUPS HIGH SCHOOL","PRYOR","MT","PLENTY COUPS H S",308,"Transformation"
"443","PRYOR 7-8","PRYOR","MT","PRYOR ELEM",89,"Transformation"
"444","FRAZER HIGH SCHOOL","FRAZER","MT","FRAZER H S",568,"Transformation"
"445","PRYOR ELEM SCHOOL","PRYOR","MT","PRYOR ELEM",308,"Transformation"
"446","LAME DEER HIGH SCHOOL","LAME DEER","MT","LAME DEER H S",98,"Transformation"
"447","LODGE GRASS HIGH SCHOOL","LODGE GRASS","MT","LODGE GRASS H S",84,"Transformation"
"448","KENNEDY LEARNING","WINSTON SALEM","NC","FORSYTH COUNTY SCHOOLS",386,"Transformation"
"449","BURKE ALTERNATIVE SCHOOL","MORGANTON","NC","BURKE COUNTY SCHOOLS",275,"Transformation"
"450","LUMBERTON SENIOR HIGH","LUMBERTON","NC","ROBESON COUNTY SCHOOLS",153,"Transformation"
"451","SOUTH CENTRAL HIGH","WINTERVILLE","NC","PITT COUNTY SCHOOLS",629,"Transformation"
"452","WEST MECKLENBURG HIGH","CHARLOTTE","NC","CHARLOTTE-MECKLENBURG SCHOOLS",600,"Transformation"
"453","OAK HILL ELEMENTARY","HIGH POINT","NC","GUILFORD COUNTY SCHOOLS",635,"Turnaround"
"454","BUNCOMBE COMMUNITY-EAST","SWANNANOA","NC","BUNCOMBE COUNTY SCHOOLS",48,"Turnaround"
"455","FAIRMONT HIGH","FAIRMONT","NC","ROBESON COUNTY SCHOOLS",607,"Transformation"
"456","NORTH PITT HIGH","BETHEL","NC","PITT COUNTY SCHOOLS",521,"Transformation"
"457","CATAWBA VALLEY HIGH","HICKORY","NC","HICKORY CITY SCHOOLS",31,"Turnaround"
"458","WARLICK SCHOOL","GASTONIA","NC","GASTON COUNTY SCHOOLS",552,"Turnaround"
"459","DURHAM'S PERFORMANCE LEARNING","DURHAM","NC","DURHAM PUBLIC SCHOOLS",602,"Transformation"
"460","GOLDSBORO HIGH","GOLDSBORO","NC","WAYNE COUNTY PUBLIC SCHOOLS",640,"Transformation"
"461","BRUNSWICK LEARNING CENTER","SOUTHPORT","NC","BRUNSWICK COUNTY SCHOOLS",487,"Transformation"
"462","W L GREENE ALTERNATIVE","NASHVILLE","NC","NASH-ROCKY MOUNT SCHOOLS",330,"Transformation"
"463","FARMVILLE CENTRAL HIGH","FARMVILLE","NC","PITT COUNTY SCHOOLS",451,"Transformation"
"464","SOUTHEAST HALIFAX HIGH","HALIFAX","NC","HALIFAX COUNTY SCHOOLS",51,"Transformation"
"465","PETREE ELEMENTARY","WINSTON-SALEM","NC","FORSYTH COUNTY SCHOOLS",4,"Turnaround"
"467","HENDERSON INDEPENDENT HIGH","SALISBURY","NC","ROWAN-SALISBURY SCHOOLS",578,"Turnaround"
"468","ANSON CHALLENGE ACADEMY","WADESBORO","NC","ANSON COUNTY SCHOOLS",527,"Restart"
"469","E E WADDELL HIGH","CHARLOTTE","NC","CHARLOTTE-MECKLENBURG SCHOOLS",500,"Transformation"
"470","WALKER-SPIVEY","FAYETTEVILLE","NC","CUMBERLAND COUNTY SCHOOLS",463,"Transformation"
"471","ENFIELD MIDDLE","ENFIELD","NC","HALIFAX COUNTY SCHOOLS",597,"Transformation"
"472","MANDAREE HIGH SCHOOL","MANDAREE","ND","MANDAREE 36",328,"Transformation"
"473","SANTEE ELEMENTARY SCHOOL","NIOBRARA","NE","SANTEE COMMUNITY SCHOOLS",390,"Transformation"
"474","CRAWFORD ELEMENTARY SCHOOL","CRAWFORD","NE","CRAWFORD PUBLIC SCHOOLS",339,"Transformation"
"475","MINATARE ELEMENTARY SCHOOL","MINATARE","NE","MINATARE PUBLIC SCHOOLS",368,"Transformation"
"476","WINNEBAGO HIGH SCHOOL","WINNEBAGO","NE","WINNEBAGO PUBLIC SCHOOLS",519,"Transformation"
"477","MADISON ELEMENTARY SCHOOL","MADISON","NE","MADISON PUBLIC SCHOOLS",363,"Transformation"
"478","SANTEE HIGH SCHOOL","NIOBRARA","NE","SANTEE COMMUNITY SCHOOLS",409,"Transformation"
"479","ELLIOTT ELEMENTARY SCHOOL","LINCOLN","NE","LINCOLN PUBLIC SCHOOLS",625,"Transformation"
"480","PITTSFIELD HIGH SCHOOL","PITTSFIELD","NH","PITTSFIELD SCHOOL DISTRICT",288,"Transformation"
"481","NUTE HIGH SCHOOL","MILTON","NH","MILTON SCHOOL DISTRICT",331,"Transformation"
"482","SOUTHSIDE MIDDLE SCHOOL","MANCHESTER","NH","MANCHESTER SCHOOL DISTRICT",290,"Transformation"
"483","NUTE JUNIOR HIGH SCHOOL","MILTON","NH","MILTON SCHOOL DISTRICT",283,"Transformation"
"484","PARKER-VARNEY SCHOOL","MANCHESTER","NH","MANCHESTER SCHOOL DISTRICT",351,"Transformation"
"485","PITTSFIELD MIDDLE SCHOOL","PITTSFIELD","NH","PITTSFIELD SCHOOL DISTRICT",288,"Transformation"
"486","GOSSLER PARK SCHOOL","MANCHESTER","NH","MANCHESTER SCHOOL DISTRICT",332,"Transformation"
"487","ESSEX CTY VOC-WEST CALDW","WEST CALDWELL","NJ","ESSEX COUNTY VOCATIONAL S",399,"Transformation"
"488","DAYTON ST","NEWARK","NJ","NEWARK",143,"Transformation"
"489","RENAISSANCE ACADEMY","NEWARK","NJ","NEWARK",163,"Restart"
"490","U S WIGGINS","CAMDEN","NJ","CAMDEN CITY",26,"Transformation"
"491","MALCOLM X SHABAZZ HIGH","NEWARK","NJ","NEWARK",169,"Turnaround"
"492","FRED W  MARTIN #41","JERSEY CITY","NJ","JERSEY CITY",223,"Turnaround"
